kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f32,1048576,2,0,9,613569.000000,597857.000000,936925.000000,3.417956,1.825589,19.099319,1,0.0000000000000e+00
saxpy,f32,1048576,2,1,9,883373.000000,628874.000000,8743663.000000,2.374028,2.628291,13.265914,1,0.0000000000000e+00
saxpy,f32,1048576,4,0,9,756125.000000,618448.000000,1326744.000000,2.773552,2.249720,15.498429,1,0.0000000000000e+00
saxpy,f32,1048576,4,1,9,793005.000000,665190.000000,1323833.000000,2.644563,2.359440,14.777650,1,0.0000000000000e+00
saxpy,f32,1048576,8,0,9,746934.000000,693011.000000,2006009.000000,2.807680,2.222349,15.689137,1,0.0000000000000e+00
saxpy,f32,1048576,8,1,9,765400.000000,686126.000000,2083116.000000,2.739943,2.277290,15.310622,1,0.0000000000000e+00
saxpy,f32,8388608,1,0,9,7516604.000000,6178654.000000,18258027.000000,2.232021,2.795501,12.472388,1,0.0000000000000e+00
saxpy,f32,8388608,1,1,9,8280957.000000,6492704.000000,10156596.000000,2.026000,3.079781,11.321155,1,0.0000000000000e+00
saxpy,f32,8388608,2,0,9,9142510.000000,8042630.000000,13857331.000000,1.835078,3.405107,10.254296,1,0.0000000000000e+00
saxpy,f32,8388608,2,1,9,9448512.000000,8323516.000000,14710566.000000,1.775646,3.519071,9.922197,1,0.0000000000000e+00
saxpy,f32,8388608,4,0,9,11510722.000000,10078172.000000,20131191.000000,1.457529,4.287152,8.144580,1,0.0000000000000e+00
saxpy,f32,8388608,4,1,9,10903589.000000,9640582.000000,17462148.000000,1.538687,4.061029,8.598086,1,0.0000000000000e+00
saxpy,f32,8388608,8,0,9,13362157.000000,12796694.000000,20874985.000000,1.255577,4.976702,7.016083,1,0.0000000000000e+00
saxpy,f32,8388608,8,1,9,13718449.000000,12769595.000000,22164634.000000,1.222967,5.109426,6.833863,1,0.0000000000000e+00
saxpy,f32,33554432,1,0,9,29481887.000000,25622199.000000,31890295.000000,2.276274,2.745123,12.719674,1,0.0000000000000e+00
saxpy,f32,33554432,1,1,9,27287323.000000,25582169.000000,32715012.000000,2.459342,2.541866,13.742645,1,0.0000000000000e+00
saxpy,f32,33554432,2,0,9,35171446.000000,32218322.000000,37094747.000000,1.908050,3.276302,10.662058,1,0.0000000000000e+00
saxpy,f32,33554432,2,1,9,39169205.000000,38051571.000000,50767749.000000,1.713307,3.648709,9.573848,1,0.0000000000000e+00
saxpy,f32,33554432,4,0,9,61249468.000000,57542684.000000,67782569.000000,1.095664,5.705623,6.122502,1,0.0000000000000e+00
saxpy,f32,33554432,4,1,9,48033878.000000,46585756.000000,62171818.000000,1.397115,4.466670,7.806990,1,0.0000000000000e+00
saxpy,f32,33554432,8,0,9,78526442.000000,76159237.000000,85583357.000000,0.854602,7.302323,4.775461,1,0.0000000000000e+00
saxpy,f32,33554432,8,1,9,76868183.000000,75994199.000000,109178665.000000,0.873038,7.147964,4.878481,1,0.0000000000000e+00
saxpy,f32,67108864,1,0,9,57608687.000000,50710739.000000,67296021.000000,2.329818,2.678483,13.018870,1,0.0000000000000e+00
saxpy,f32,67108864,1,1,9,56926242.000000,51200132.000000,131384139.000000,2.357748,2.646775,13.174943,1,0.0000000000000e+00
saxpy,f32,67108864,2,0,9,77293306.000000,67444006.000000,88496325.000000,1.736473,3.599535,9.703298,1,0.0000000000000e+00
saxpy,f32,67108864,2,1,9,67770707.000000,64985266.000000,83057485.000000,1.980468,3.156068,11.066728,1,0.0000000000000e+00
saxpy,f32,67108864,4,0,9,98976337.000000,93346860.000000,139075418.000000,1.356059,4.611070,7.577569,1,0.0000000000000e+00
saxpy,f32,67108864,4,1,9,96209649.000000,93662060.000000,101695940.000000,1.395055,4.482208,7.795476,1,0.0000000000000e+00
saxpy,f32,67108864,8,0,9,157220588.000000,152912410.000000,203114421.000000,0.853691,7.310902,4.770368,1,0.0000000000000e+00
saxpy,f32,67108864,8,1,9,159069398.000000,153572830.000000,208087041.000000,0.843768,7.396683,4.714923,1,0.0000000000000e+00
saxpy,f64,512,1,0,9,302.000000,300.000000,388.000000,3.390728,1.840640,37.894344,1,0.0000000000000e+00
saxpy,f64,512,1,1,9,303.000000,301.000000,379.000000,3.379538,1.846737,37.769280,1,0.0000000000000e+00
saxpy,f64,512,2,0,9,301.000000,300.000000,383.000000,3.401993,1.834546,38.020239,1,0.0000000000000e+00
saxpy,f64,512,2,1,9,300.000000,299.000000,397.000000,3.413333,1.828440,38.146973,1,0.0000000000000e+00
saxpy,f64,512,4,0,9,301.000000,299.000000,378.000000,3.401993,1.834552,38.020239,1,0.0000000000000e+00
saxpy,f64,512,4,1,9,304.000000,298.000000,377.000000,3.368421,1.852857,37.645039,1,0.0000000000000e+00
saxpy,f64,512,8,0,9,301.000000,298.000000,366.000000,3.401993,1.834550,38.020239,1,0.0000000000000e+00
saxpy,f64,512,8,1,9,302.000000,299.000000,374.000000,3.390728,1.840744,37.894344,1,0.0000000000000e+00
saxpy,f64,1024,1,0,9,936.000000,935.000000,1213.000000,2.188034,2.852500,24.453188,1,0.0000000000000e+00
saxpy,f64,1024,1,1,9,594.000000,589.000000,684.000000,3.447811,1.810176,38.532296,1,0.0000000000000e+00
saxpy,f64,1024,2,0,9,693.000000,691.000000,793.000000,2.955267,2.111858,33.027682,1,0.0000000000000e+00
saxpy,f64,1024,2,1,9,591.000000,585.000000,669.000000,3.465313,1.801127,38.727891,1,0.0000000000000e+00
saxpy,f64,1024,4,0,9,693.000000,686.000000,780.000000,2.955267,2.111950,33.027682,1,0.0000000000000e+00
saxpy,f64,1024,4,1,9,694.000000,689.000000,784.000000,2.951009,2.114978,32.980092,1,0.0000000000000e+00
saxpy,f64,1024,8,0,9,694.000000,691.000000,783.000000,2.951009,2.114899,32.980092,1,0.0000000000000e+00
saxpy,f64,1024,8,1,9,690.000000,594.000000,693.000000,2.968116,2.102727,33.171281,1,0.0000000000000e+00
saxpy,f64,2048,1,0,9,1465.000000,1433.000000,1570.000000,2.795904,2.232291,31.246667,1,0.0000000000000e+00
saxpy,f64,2048,1,1,9,1177.000000,1165.000000,2290.000000,3.480034,1.793404,38.892411,1,0.0000000000000e+00
saxpy,f64,2048,2,0,9,1412.000000,1206.000000,1501.000000,2.900850,2.151483,32.419524,1,0.0000000000000e+00
saxpy,f64,2048,2,1,9,1413.000000,1399.000000,1526.000000,2.898797,2.153054,32.396580,1,0.0000000000000e+00
saxpy,f64,2048,4,0,9,1174.000000,1172.000000,1253.000000,3.488927,1.788852,38.991795,1,0.0000000000000e+00
saxpy,f64,2048,4,1,9,1378.000000,1374.000000,1459.000000,2.972424,2.099717,33.219425,1,0.0000000000000e+00
saxpy,f64,2048,8,0,9,1395.000000,1383.000000,1451.000000,2.936201,2.125568,32.814600,1,0.0000000000000e+00
saxpy,f64,2048,8,1,9,1386.000000,1376.000000,1459.000000,2.955267,2.116181,33.027682,1,0.0000000000000e+00
saxpy,f64,4096,1,0,9,2549.000000,2319.000000,2564.000000,3.213809,1.945929,35.917118,1,0.0000000000000e+00
saxpy,f64,4096,1,1,9,2325.000000,2308.000000,2453.000000,3.523441,1.774914,39.377520,1,0.0000000000000e+00
saxpy,f64,4096,2,0,9,2384.000000,2381.000000,2490.000000,3.436242,1.819965,38.402993,1,0.0000000000000e+00
saxpy,f64,4096,2,1,9,2808.000000,2778.000000,7464.000000,2.917379,2.143649,32.604250,1,0.0000000000000e+00
saxpy,f64,4096,4,0,9,2722.000000,2703.000000,19827.000000,3.009552,2.077993,33.634362,1,0.0000000000000e+00
saxpy,f64,4096,4,1,9,2722.000000,2718.000000,2826.000000,3.009552,2.078045,33.634362,1,0.0000000000000e+00
