kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f32,65536,4,0,9,39244.000000,38769.000000,57144.000000,3.339925,1.872009,18.663283,1,0.0000000000000e+00
saxpy,f32,65536,4,1,9,39022.000000,38984.000000,47601.000000,3.358926,1.861415,18.769460,1,0.0000000000000e+00
saxpy,f32,65536,8,0,9,39459.000000,39376.000000,58437.000000,3.321726,1.882261,18.561592,1,0.0000000000000e+00
saxpy,f32,65536,8,1,9,39384.000000,39343.000000,48428.000000,3.328052,1.878673,18.596940,1,0.0000000000000e+00
saxpy,f32,1048576,1,0,9,604805.000000,591401.000000,650412.000000,3.467485,1.803138,19.376080,1,0.0000000000000e+00
saxpy,f32,1048576,1,1,9,606771.000000,596851.000000,782005.000000,3.456250,1.809001,19.313299,1,0.0000000000000e+00
saxpy,f32,1048576,2,0,9,608175.000000,596116.000000,673381.000000,3.448271,1.813186,19.268714,1,0.0000000000000e+00
saxpy,f32,1048576,2,1,9,600877.000000,590739.000000,915455.000000,3.490152,1.791416,19.502743,1,0.0000000000000e+00
saxpy,f32,1048576,4,0,9,667773.000000,640290.000000,853049.000000,3.140516,1.990865,17.549002,1,0.0000000000000e+00
saxpy,f32,1048576,4,1,9,609230.000000,592342.000000,720401.000000,3.442299,1.816330,19.235346,1,0.0000000000000e+00
saxpy,f32,1048576,8,0,9,665951.000000,643383.000000,885360.000000,3.149109,1.985441,17.597015,1,0.0000000000000e+00
saxpy,f32,1048576,8,1,9,654905.000000,651741.000000,851378.000000,3.202223,1.952504,17.893817,1,0.0000000000000e+00
saxpy,f32,8388608,1,0,9,7929411.000000,6873091.000000,10823917.000000,2.115821,2.955119,11.823072,1,0.0000000000000e+00
saxpy,f32,8388608,1,1,9,7276341.000000,7160808.000000,8660099.000000,2.305722,2.711673,12.884223,1,0.0000000000000e+00
saxpy,f32,8388608,2,0,9,8745268.000000,7997368.000000,18006810.000000,1.918434,3.259106,10.720083,1,0.0000000000000e+00
saxpy,f32,8388608,2,1,9,8724645.000000,8059169.000000,9124970.000000,1.922968,3.251407,10.745423,1,0.0000000000000e+00
saxpy,f32,8388608,4,0,9,10779054.000000,9837038.000000,14568666.000000,1.556465,4.016967,8.697424,1,0.0000000000000e+00
saxpy,f32,8388608,4,1,9,10508008.000000,9583564.000000,11335614.000000,1.596612,3.915958,8.921767,1,0.0000000000000e+00
saxpy,f32,8388608,8,0,9,12595681.000000,11504266.000000,15406309.000000,1.331982,4.693965,7.443027,1,0.0000000000000e+00
saxpy,f32,8388608,8,1,9,12873175.000000,11607051.000000,18731774.000000,1.303269,4.797371,7.282586,1,0.0000000000000e+00
saxpy,f32,33554432,1,0,9,28606358.000000,26114290.000000,31712281.000000,2.345942,2.665134,13.108974,1,0.0000000000000e+00
saxpy,f32,33554432,1,1,9,25717927.000000,25403584.000000,30229221.000000,2.609420,2.396032,14.581269,1,0.0000000000000e+00
saxpy,f32,33554432,2,0,9,34481210.000000,32921521.000000,37346387.000000,1.946244,3.211678,10.875488,1,0.0000000000000e+00
saxpy,f32,33554432,2,1,9,33871316.000000,32929334.000000,40309124.000000,1.981289,3.154871,11.071315,1,0.0000000000000e+00
saxpy,f32,33554432,4,0,9,49666841.000000,49089842.000000,67497580.000000,1.351180,4.626097,7.550309,1,0.0000000000000e+00
saxpy,f32,33554432,4,1,9,49132520.000000,48342428.000000,52734832.000000,1.365875,4.576335,7.632419,1,0.0000000000000e+00
