kernel,dtype,n,stride,gflops,cpe
dot,f64,512,8,3.160494,1.887077
dot,f64,1024,1,2.809328,2.12302
dot,f64,1024,2,2.805479,2.125889
dot,f64,1024,4,2.801642,2.128802
dot,f64,1024,8,2.805479,2.125897
dot,f64,2048,1,2.854355,2.089461
dot,f64,2048,2,3.332791,1.789536
dot,f64,2048,4,2.836565,2.10256
dot,f64,2048,8,2.957401,2.110635
dot,f64,4096,1,3.485957,1.790726
dot,f64,4096,2,3.007342,2.075594
dot,f64,4096,4,3.554013,1.778985
dot,f64,4096,8,3.036323,2.082376
dot,f64,8192,1,3.581202,1.765572
dot,f64,8192,2,3.579637,1.766236
dot,f64,8192,4,3.548625,1.78167
dot,f64,8192,8,3.572612,1.769698
dot,f64,65536,1,3.602661,1.755084
dot,f64,65536,2,3.594855,1.758785
dot,f64,65536,4,3.565615,1.773184
dot,f64,65536,8,3.364185,1.879358
dot,f64,1048576,1,1.037509,6.093892
dot,f64,1048576,2,1.506378,4.19712
dot,f64,1048576,4,1.357367,4.657873
dot,f64,1048576,8,1.075243,6.102415
dot,f64,8388608,1,1.782552,3.680961
dot,f64,8388608,2,1.431811,4.582693
dot,f64,8388608,4,0.890449,7.368807
dot,f64,8388608,8,0.527128,11.841256
dot,f64,33554432,1,1.764753,3.535449
dot,f64,33554432,2,1.356839,4.439739
dot,f64,33554432,4,0.82318,8.085729
dot,f64,33554432,8,0.523069,11.973681
dot,f64,67108864,1,1.379838,4.490037
dot,f64,67108864,2,1.245719,5.010663
dot,f64,67108864,4,0.672823,9.892731
dot,f64,67108864,8,0.397286,15.213004
mul,f32,512,1,1.700997,1.862194
mul,f32,512,2,1.712375,1.849765
mul,f32,512,4,1.590062,1.99218
mul,f32,512,8,1.684211,1.880716
mul,f32,1024,1,1.796491,1.76317
mul,f32,1024,2,1.787086,1.834318
mul,f32,1024,4,1.799649,1.821446
mul,f32,1024,8,1.805996,1.815046
mul,f32,2048,1,1.61133,2.034379
mul,f32,2048,2,1.556231,2.10635
mul,f32,2048,4,1.590062,2.061527
mul,f32,2048,8,1.557414,2.104794
mul,f32,4096,1,1.843384,1.778443
mul,f32,4096,2,1.627981,2.013619
mul,f32,4096,4,1.744463,1.789144
mul,f32,4096,8,1.745207,1.788298
mul,f32,8192,1,1.755679,1.777745
mul,f32,8192,2,1.760206,1.773161
mul,f32,8192,4,1.759072,1.774185
mul,f32,8192,8,1.743721,1.788407
mul,f32,65536,1,1.693874,1.840994
mul,f32,65536,2,1.76319,1.768656
mul,f32,65536,4,1.81792,1.715394
mul,f32,65536,8,1.74968,1.782286
mul,f32,1048576,1,1.691707,1.843566
mul,f32,1048576,2,1.7064,1.827516
mul,f32,1048576,4,1.734241,1.798142
mul,f32,1048576,8,1.644394,1.896451
mul,f32,8388608,1,1.012121,3.081082
mul,f32,8388608,2,0.731926,4.036595
