kernel,dtype,stride,gflops_mean,gflops_std,cpe_mean,cpe_std
dot,f32,1,3.0062953333333335,0.31156783734739574,2.13002,0.3337309443653674
dot,f32,2,2.8441503333333333,0.5950565723663032,2.2538946666666666,0.5512876835140916
dot,f32,4,2.565741,0.8912451447424552,2.6297413333333335,1.0853373249484848
dot,f32,8,2.340443,1.2392783344854374,3.540865,2.6344332894245013
dot,f64,1,2.7349683333333332,1.1564222580201116,2.674955666666667,1.4902486346929942
dot,f64,2,2.6820916666666665,1.2392573422838105,2.850418666666666,1.7906779327830935
dot,f64,4,2.527725333333333,1.484339571621108,3.7322993333333336,3.3100735368532725
dot,f64,8,2.3364496666666668,1.6069189327033064,5.554041000000001,6.358053979025107
mul,f32,1,1.465974,0.4009188973208922,2.273275,0.7304498321466026
mul,f32,2,1.4295989999999998,0.5343938155265272,2.487183,1.1749828933814315
mul,f32,4,1.2747526666666666,0.7521412483365962,3.73927,3.268683382084597
mul,f32,8,1.2597463333333332,0.7925684711697364,4.238471666666666,4.169285968461066
mul,f64,1,1.2946873333333333,0.7397507638403176,3.5637026666666665,3.000785568400604
mul,f64,2,1.21666,0.773447700625582,4.478014,4.480341815270684
mul,f64,4,1.180801,0.7742573256553663,4.893845333333333,5.1903236207585675
mul,f64,8,1.1250773333333333,0.8187184637110203,7.087498666666666,8.92803597901153
saxpy,f32,1,3.1201103333333333,0.6185157056488811,2.06183,0.4582866097203802
saxpy,f32,2,2.9129703333333334,0.8548624375911797,2.3058650000000003,0.81839730656265
saxpy,f32,4,2.7531956666666666,1.239021657065095,2.7712713333333334,1.678882620358056
saxpy,f32,8,2.585026666666667,1.527831061742539,3.7282096666666664,3.3346494521242156
saxpy,f64,1,2.7549123333333334,1.2435388360217519,2.8598866666666667,1.835074353495883
saxpy,f64,2,2.5924306666666665,1.354859371531353,3.2595543333333334,2.43883486027741
saxpy,f64,4,2.460953,1.5587805888257655,4.384113333333333,4.373107670541091
saxpy,f64,8,2.3809036666666668,1.6994675389881189,6.206622666666667,7.530939486024393
stencil,f32,1,37.412881,43.13068522525465,1.2448234999999999,1.4355066688749656
stencil,f64,1,13.906433999999999,14.73281020232732,2.563488,2.7107956690551207
