dot,f32,1,512,5.535135,6.781457,22.52,1.179754,0.962934,-18.38,20.619985,25.262896,22.52
dot,f32,1,1024,7.366906,7.420290,0.72,0.886410,0.880032,-0.72,27.443865,27.642734,0.72
dot,f32,1,2048,6.041298,6.041298,0.00,1.080913,1.080915,0.00,22.505589,22.505589,0.00
dot,f32,1,4096,7.204925,6.196672,-13.99,0.915465,1.064421,16.27,26.840438,23.084401,-13.99
dot,f32,1,8192,7.262411,7.262411,0.00,0.908219,0.908223,0.00,27.054591,27.054591,0.00
dot,f32,1,65536,7.320413,7.316736,-0.05,0.901019,0.901476,0.05,27.270665,27.256964,-0.05
dot,f32,1,1048576,8.134802,6.999606,-13.95,0.777486,0.903572,16.22,30.304500,26.075565,-13.95
dot,f32,1,8388608,3.868897,3.993196,3.21,1.633691,1.582838,-3.11,14.412764,14.875813,3.21
dot,f32,1,33554432,3.527297,3.418340,-3.09,1.791904,1.707889,-4.69,13.140204,12.734308,-3.09
dot,f32,1,67108864,4.019268,3.630335,-9.68,1.656036,1.833450,10.71,14.972940,13.524051,-9.68
dot,f32,2,512,12.641975,12.641975,0.00,0.516541,0.516543,0.00,47.095028,47.095028,0.00
dot,f32,2,1024,14.222222,13.473684,-5.26,0.459150,0.484660,5.56,52.981906,50.193385,-5.26
dot,f32,2,2048,11.941691,11.770115,-1.44,0.546830,0.554802,1.46,44.486265,43.847095,-1.44
dot,f32,2,4096,12.208644,12.226866,0.15,0.540259,0.539456,-0.15,45.480742,45.548624,0.15
dot,f32,2,8192,15.829952,12.365283,-21.89,0.416670,0.533417,28.02,58.971165,46.064269,-21.89
dot,f32,2,65536,14.561938,14.597617,0.25,0.452952,0.451845,-0.24,54.247445,54.380360,0.25
dot,f32,2,1048576,13.679874,10.801821,-21.04,0.462034,0.585153,26.65,50.961501,40.239920,-21.04
dot,f32,2,8388608,3.666193,4.721647,28.79,1.724021,1.338634,-22.35,13.657632,17.589506,28.79
dot,f32,2,33554432,3.547102,3.790676,6.87,1.645889,1.540150,-6.42,13.213985,14.121367,6.87
dot,f32,2,67108864,4.079176,3.460026,-15.18,1.631717,1.859596,13.97,15.196114,12.889602,-15.18
dot,f32,4,512,19.320755,20.897959,8.16,0.337985,0.312479,-7.55,71.975420,77.850965,8.16
dot,f32,4,1024,23.272727,25.283951,8.64,0.280590,0.258269,-7.96,86.697665,94.190056,8.64
dot,f32,4,2048,23.141243,27.675676,19.59,0.282184,0.235950,-16.38,86.207848,103.099926,19.59
dot,f32,4,4096,27.582492,27.582492,0.00,0.239132,0.239131,-0.00,102.752788,102.752788,0.00
dot,f32,4,8192,24.272593,28.199656,16.18,0.271741,0.233899,-13.93,90.422454,105.051904,16.18
dot,f32,4,65536,29.127111,29.127111,0.00,0.226451,0.223658,-1.23,108.506944,108.506944,0.00
dot,f32,4,1048576,16.860981,23.901075,41.75,0.374866,0.264447,-29.46,62.812050,89.038442,41.75
dot,f32,4,8388608,4.931325,4.950730,0.39,1.281720,1.276697,-0.39,18.370617,18.442905,0.39
dot,f32,4,33554432,4.031834,4.132728,2.50,1.568675,1.530380,-2.44,15.019752,15.395613,2.50
dot,f32,4,67108864,3.996072,4.271738,6.90,1.610133,1.506229,-6.45,14.886527,15.913463,6.90
dot,f32,8,512,31.030303,32.000000,3.13,0.210442,0.204065,-3.03,115.596887,119.209290,3.13
dot,f32,8,1024,41.795918,42.666667,2.08,0.156237,0.153048,-2.04,155.701929,158.945719,2.08
