iodepth,bw,bw_std,lat,lat_std,p50,p95,p99,p999
1,49.031290690104164,0.3022618796215118,0.07930595302966666,0.0004490355333878736,0.07355733333333334,0.090624,0.10154666666666667,0.15530666666666668
2,92.48880036671956,0.32389995004838595,0.08414178123166667,0.00027481625610034595,0.078336,0.11554133333333333,0.14301866666666666,0.16896
4,164.82393264770508,0.2267173155982642,0.09451159691733334,0.00012014878648522711,0.08550399999999998,0.14848,0.18534400000000004,0.234496
8,268.37560240427655,0.18094227045044717,0.116173805568,7.509876992121319e-05,0.09813333333333334,0.20787199999999997,0.272384,0.34884266666666663
16,398.2105538050334,0.6124794511218694,0.15669799571733334,0.0002249008102220666,0.136192,0.305152,0.387072,0.49083733333333335
32,522.6843996047974,0.4300720377698088,0.238923522533,0.00019492845592628119,0.218112,0.46080000000000004,0.585728,0.7522986666666668
64,566.6991217931112,0.1683294671180214,0.44090432723766665,0.00010438082357308674,0.382976,0.954368,1.2315306666666668,1.613824
128,580.3026316960653,0.08971310421862257,0.861403357049,0.00012894895110608846,0.692224,2.2882986666666665,3.1402666666666668,3.8393173333333332
