jobname,mode,bs,rw,iodepth,iops_mean,iops_std,lat_ms_mean,lat_ms_std,p50_ms,p95_ms,p99_ms,bw_MBps
randread_qd1,read,4k,randread,1,12493.494661333332,47.872560107932046,0.07969540464566667,0.0002857719448338926,0.07424,0.09096533333333333,0.10018133333333334,48.8027130762736
randwrite_qd1,write,4k,randwrite,1,66351.58828033334,363.5486379543238,0.014863566041666667,8.113814913348809e-05,0.012096,0.016021333333333332,0.030848,259.18589146931964
read128k_qd1,read,128k,read,1,7500.133324333333,1.0250714126168212,0.13311263954400002,2.3934118094592964e-05,0.119296,0.187392,0.22971733333333333,937.5180540084839
write128k_qd1,write,128k,write,1,13585.047165000002,258.98712193920426,0.07345073415233333,0.0013879077269705318,0.059136,0.06408533333333333,0.093696,1698.1322841644287
