label,kind,bw_MBps,lat_ms,p50,p95,p99,p999
rr_full,read,522.2699604034424,0.239078164369,0.218112,0.4608,0.585728,0.75776
rr_hot,read,515.9468641281128,0.24208519793799999,0.197632,0.55296,0.741376,0.954368
rw_burst,write,528.3916311264038,0.236205982238,0.134144,0.724992,1.073152,1.662976
rw_steady,write,440.41862773895264,0.28347755806,0.187392,0.765952,1.073152,1.712128
smoke,read,295.298828125,0.013061950838,0.01056,0.014144,0.029056,0.072192
